alpha,0.127
annualized_returns,0.196
benchmark,000001.XSHG
benchmark_annualized_returns,0.088
benchmark_total_returns,1.626
beta,0.448
cash,2588.087
downside_risk,0.14
end_date,2017-05-31
future_starting_cash,0
information_ratio,0.368
max_drawdown,0.292
run_type,BACKTEST
sharpe,0.882
sortino,1.197
start_date,2006-01-04
stock_starting_cash,100000
strategy_file,D:\OpenSourceTradePlatform\atspy\Template\ma20\strategy\ma20_20.py
strategy_name,ma20_20
total_returns,6.745
total_value,774514.567
tracking_error,0.209
unit_net_value,7.745
units,100000
volatility,0.19
