alpha,0.109
annualized_returns,0.174
benchmark,000001.XSHG
benchmark_annualized_returns,0.088
benchmark_total_returns,1.626
beta,0.428
cash,104.394
downside_risk,0.143
end_date,2017-05-31
future_starting_cash,0
information_ratio,0.268
max_drawdown,0.439
run_type,BACKTEST
sharpe,0.799
sortino,1.034
start_date,2006-01-04
stock_starting_cash,100000
strategy_file,D:\OpenSourceTradePlatform\atspy\Template\ma20\strategy\ma20_60.py
strategy_name,ma20_60
total_returns,5.218
total_value,621837.034
tracking_error,0.211
unit_net_value,6.218
units,100000
volatility,0.184
