alpha,0.026
annualized_returns,0.082
benchmark,000001.XSHG
benchmark_annualized_returns,0.088
benchmark_total_returns,1.626
beta,0.461
cash,1711.699
downside_risk,0.141
end_date,2017-05-31
future_starting_cash,0
information_ratio,-0.113
max_drawdown,0.48
run_type,BACKTEST
sharpe,0.349
sortino,0.48
start_date,2006-01-04
stock_starting_cash,100000
strategy_file,D:\OpenSourceTradePlatform\atspy\Template\ma20\strategy\ma20_5.py
strategy_name,ma20_5
total_returns,1.462
total_value,246213.299
tracking_error,0.208
unit_net_value,2.462
units,100000
volatility,0.193
